ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF790EEU.dedup	mean_meth	mean_meth
0.593472	0.595238	0.614148	0.619632
0.806630	0.805556	0.818182	0.807910
0.146939	0.147541	0.124444	0.123894
0.015748	0.015873	0.008264	0.008403
0.395257	0.395257	0.398406	0.419118
0.269737	0.269737	0.265306	0.265823
0.645669	0.646825	0.636917	0.640625
0.350000	0.351598	0.351220	0.347826
0.146341	0.146341	0.140426	0.145299
0.584016	0.584362	0.582441	0.585987
0.410112	0.409434	0.395257	0.399625
0.064039	0.064677	0.051546	0.054187
0.116071	0.116071	0.119266	0.119266
0.229885	0.231214	0.216049	0.218935
0.409972	0.409972	0.402985	0.405714
0.373494	0.375758	0.376623	0.381250
0.663014	0.663014	0.663889	0.663934
0.006536	0.006536	0.006711	0.006667
0.195440	0.196721	0.182131	0.170968
0.717617	0.716146	0.709239	0.714660
0.508982	0.506024	0.512121	0.510386
0.480769	0.480769	0.473684	0.479167
0.209677	0.204918	0.190909	0.200000
0.374570	0.372014	0.375439	0.394558
0.337423	0.337423	0.336449	0.354545
0.973105	0.972973	0.971279	0.970149
0.640950	0.643713	0.640127	0.636646
0.422633	0.422633	0.409639	0.410431
0.437126	0.435045	0.438095	0.442073
0.645570	0.647208	0.653117	0.649867
0.102041	0.102669	0.105145	0.107865
0.228047	0.228047	0.235876	0.235127
0.811511	0.811239	0.810145	0.810967
0.933071	0.933071	0.931915	0.935897
0.950570	0.950570	0.947791	0.944664
0.957179	0.957179	0.959569	0.957784
0.952562	0.952562	0.957576	0.956778
0.962810	0.962733	0.961039	0.962422
0.085540	0.085540	0.082040	0.083516
0.938375	0.938028	0.938416	0.940000
0.878594	0.873333	0.873239	0.873288
0.509740	0.508943	0.506757	0.503311
0.340426	0.336898	0.329730	0.317204
0.361257	0.359788	0.351064	0.349206
0.648352	0.648352	0.653992	0.653992
0.607143	0.607143	0.615385	0.603774
0.410596	0.410596	0.397924	0.399340
0.305907	0.304440	0.303653	0.324561
0.835878	0.841699	0.843373	0.849802
0.145015	0.145897	0.148276	0.146259
0.469444	0.470752	0.472779	0.446927
0.102362	0.102362	0.082988	0.086777
0.672030	0.672030	0.664935	0.659847
0.891743	0.893186	0.893536	0.886239
0.312030	0.312030	0.310345	0.305970
